Prefix,Assignment1,Tutorial,Midterm,Quiz,Final,TakeHome,Student,Misc,Nothing,FinalGrade,BiLabel
5,57.14,34.09,64.38,64.38,52.5,F,1,0.0,,54,pepper
8,95.05,105.49,67.5,67.5,68.33,B,1,,,81,pepper
8,83.7,83.17,30.0,30.0,48.89,D,1,,,55,salt
7,81.22,96.06,49.38,49.38,80.56,B,1,,,71,salt
8,91.32,,95.0,95.0,73.89,B,1,,,89,salt
7,95.0,92.58,93.12,93.12,68.06,B,1,,,88,pepper
8,95.05,102.99,56.25,56.25,50.0,B,1,,,72,pepper
7,72.85,86.85,60.0,60.0,56.11,,1,,,67,salt
8,84.26,93.1,47.5,47.5,50.83,F,1,,,65,salt
7,90.1,97.55,51.25,51.25,63.61,,1,,,71,salt
7,80.44,90.2,75.0,75.0,39.72,B,1,,,72,salt
6,86.26,,74.38,74.38,77.5,B,1,,,78,salt
8,97.16,103.71,72.5,72.5,63.33,B,1,,,82,salt
7,91.28,83.53,81.25,81.25,92.22,B,1,,,86,pepper
8,,89.08,44.38,44.38,35.83,F,1,,,53,pepper
7,93.83,95.43,,,90.0,B,1,,,93,pepper
8,84.8,,47.5,47.5,53.33,F,1,,,58,pepper
4,92.01,102.52,38.75,38.75,49.17,B,1,,,64,salt
8,55.14,81.85,75.0,75.0,62.5,D,1,,,70,salt
8,93.04,82.93,,,91.11,B,1,,,89,salt
8,63.4,86.21,63.12,63.12,,C,1,,,69,salt
8,75.27,97.52,63.12,63.12,66.11,D,1,,,73,salt
8,63.78,76.21,39.38,39.38,34.44,,1,,,51,salt
7,80.44,90.2,46.25,46.25,72.22,B,1,,,67,salt
7,53.36,,74.38,74.38,56.39,B,1,,,65,salt
6,91.28,95.24,82.5,82.5,92.78,B,1,,,89,salt
8,82.45,86.65,,,89.17,B,1,,,86,salt
8,75.27,86.67,69.38,69.38,88.89,D,1,,,78,pepper
8,91.32,94.89,76.25,76.25,85.56,B,1,,,85,salt
7,91.62,65.18,71.88,71.88,45.56,B,1,,,69,salt
7,98.58,102.46,67.5,67.5,63.33,B,1,,,80,pepper
7,86.26,88.57,70.0,70.0,55.0,C,1,,,74,pepper
8,67.29,95.64,48.12,48.12,43.33,C,1,,,61,pepper
7,98.58,91.03,101.25,101.25,107.78,C,1,,,100,salt
8,85.42,,56.25,56.25,64.72,A,1,,,66,salt
5,88.09,63.39,74.38,74.38,50.83,a,1,,,70,pepper
6,95.05,70.24,52.5,52.5,47.78,D,1,,,64,pepper
7,89.89,57.97,32.5,32.5,51.67,B,1,,,53,salt
6,90.74,89.64,61.25,61.25,,A,1,,,76,salt
7,95.0,94.36,89.38,89.38,85.0,,1,,,91,salt
6,28.14,58.51,72.5,72.5,68.33,D,1,,,60,pepper
7,95.14,82.67,110.0,110.0,90.83,B,1,,,98,pepper
7,92.01,112.58,86.25,86.25,83.33,B,1,,,92,pepper
7,86.26,74.66,85.0,85.0,82.22,D,1,,,83,salt
6,57.14,34.09,66.88,66.88,55.83,,1,,,56,salt
7,93.83,57.32,28.12,28.12,45.56,C,1,,,51,salt
8,68.95,,44.38,44.38,65.28,B,1,,,56,pepper
8,85.01,98.47,91.25,91.25,72.22,B,1,,,88,pepper
8,95.9,99.99,95.62,95.62,102.22,A,1,,,98,salt
8,92.46,95.75,61.88,61.88,48.89,B,1,,,72,salt
8,96.73,88.11,71.88,71.88,65.56,A,1,,,79,pepper
8,,83.17,60.62,60.62,57.78,D,1,,,66,pepper
7,95.14,94.01,99.38,99.38,95.0,A,1,,,97,salt
7,98.58,88.3,90.62,90.62,99.17,A,1,,,93,salt
8,71.79,,54.37,54.37,36.11,F,1,,,54,pepper
8,71.79,101.68,,,49.44,F,1,,,74,salt
8,87.93,106.53,37.5,37.5,28.06,A,1,,,60,salt
8,87.93,108.97,28.75,28.75,47.78,B,1,,,60,pepper
8,68.95,65.11,40.0,40.0,78.89,D,1,,,59,pepper
7,72.85,86.85,41.25,41.25,46.67,D,1,,,58,pepper
8,71.79,102.87,41.88,41.88,,F,1,,,65,pepper
8,92.02,97.76,46.25,46.25,60.56,F,1,,,69,pepper
7,90.33,87.56,68.75,68.75,58.33,,1,,,75,pepper
7,95.0,94.36,90.62,90.62,101.11,A,1,,,94,pepper
7,91.28,108.71,,,88.89,A,1,,,96,pepper
8,97.0,103.02,93.12,93.12,94.44,A,1,,,96,salt
8,93.01,,55.0,55.0,67.22,A,1,,,68,pepper
8,92.02,100.58,54.37,54.37,63.89,D,1,,,73,pepper
7,100.83,105.57,101.25,101.25,108.89,A,1,,,104,pepper
8,,92.8,51.25,51.25,66.67,C,1,,,65,salt
8,90.98,97.55,86.25,86.25,90.0,B,1,,,90,pepper
8,93.59,103.83,92.5,92.5,87.22,A,1,,,94,salt
8,97.33,100.42,69.38,69.38,83.06,A,1,,,84,pepper
7,84.26,91.31,63.12,63.12,75.56,B,1,,,75,pepper
8,84.26,96.66,52.5,52.5,50.0,B,1,,,67,salt
7,93.83,,106.25,106.25,102.78,A,1,,,102,pepper
8,75.27,86.67,70.0,70.0,80.0,C,1,,,76,salt
8,92.02,100.58,,,65.28,D,1,,,86,salt
8,97.16,103.71,83.75,83.75,78.89,A,1,,,89,pepper
8,66.17,93.68,71.88,71.88,61.39,,1,,,73,pepper
8,81.22,91.95,79.38,79.38,90.0,A,1,,,84,pepper
7,74.29,65.7,78.75,78.75,55.0,A,1,,,70,pepper
8,97.33,106.74,76.88,76.88,83.89,A,1,,,88,salt
4,86.86,62.64,,,62.78,B,1,,,71,pepper
6,95.6,61.4,64.38,64.38,42.78,A,1,,,66,pepper
4,87.93,99.47,53.12,53.12,61.11,B,1,,,71,salt
6,98.49,,42.5,42.5,39.44,F,1,,,56,pepper
7,74.35,92.93,86.25,86.25,73.89,C,1,,,83,salt
7,86.29,88.81,83.12,83.12,75.83,C,1,,,83,pepper
8,,100.52,64.38,64.38,58.61,A,1,,,72,pepper
8,97.33,106.74,81.25,81.25,71.11,A,1,,,88,salt
8,96.41,,56.25,56.25,66.39,A,1,,,69,salt
