,empid,projid,duration,tenure,safety,churn,advancement,department,salary
0,1003,3,149,2,0,0,0,technical,medium
1,1005,4,247,3,0,0,0,marketing,medium
2,1486,3,159,4,0,0,0,sales,medium
3,1038,4,255,3,0,0,0,support,medium
4,1057,3,235,3,0,0,0,marketing,medium
5,1060,2,176,5,0,0,0,support,low
6,1061,5,273,6,0,0,0,product_mng,low
7,1576,3,263,2,0,0,0,management,high
8,1752,2,145,3,0,1,0,sales,low
9,1988,3,164,2,1,0,0,technical,medium
10,1071,4,191,5,1,0,0,IT,low
11,1088,7,286,4,0,1,0,sales,low
12,2040,2,242,2,0,0,0,RandD,low
13,1097,3,239,5,0,1,0,IT,medium
14,1100,3,140,3,0,0,0,support,high
15,1113,3,272,4,0,1,0,technical,low
16,58014,3,257,2,0,0,0,technical,medium
17,3322,4,191,2,1,0,0,sales,medium
18,3794,5,254,3,0,0,0,marketing,medium
19,1140,5,258,4,0,0,1,sales,medium
20,1148,4,197,2,0,0,0,IT,medium
21,1149,6,265,5,0,1,0,sales,medium
22,1158,3,127,7,0,0,0,sales,medium
23,1166,3,164,5,0,0,0,technical,low
24,1175,5,250,4,0,0,0,technical,low
25,1184,4,143,3,0,0,0,marketing,low
26,1186,4,194,3,0,0,0,sales,low
27,1201,2,141,3,1,1,0,product_mng,medium
28,1203,2,128,3,0,1,0,IT,medium
29,1204,3,263,2,1,0,0,sales,medium
30,1214,3,154,3,0,1,0,sales,low
31,1223,3,182,3,0,0,0,sales,medium
32,1228,2,159,3,0,1,0,technical,low
33,1230,2,253,5,1,0,1,marketing,medium
34,1236,5,250,2,0,0,0,support,medium
35,4266,5,239,4,0,0,0,management,medium
36,1240,3,170,3,0,0,0,hr,low
37,1248,4,201,2,0,0,0,RandD,low
38,1256,4,206,2,1,0,0,support,medium
39,4414,5,267,3,0,0,0,sales,medium
40,1284,4,185,8,1,0,0,technical,high
41,5983,2,136,3,0,1,0,sales,low
42,1293,2,163,3,0,1,0,RandD,low
43,7010,4,167,3,0,0,0,management,medium
44,52647,3,147,3,1,0,0,technical,medium
45,10497,5,160,2,0,0,0,support,high
46,1310,3,163,8,0,0,0,IT,medium
47,1311,3,198,2,0,0,0,technical,low
48,1316,3,183,2,0,0,0,support,medium
49,1319,2,166,3,0,0,0,IT,low
50,10865,3,273,3,0,0,0,sales,low
51,1332,6,286,4,0,1,0,sales,low
52,1334,3,151,2,1,0,0,sales,low
53,1340,3,169,3,0,0,0,support,medium
54,1341,4,164,3,1,0,0,RandD,medium
55,1347,4,189,3,0,0,0,technical,medium
56,14030,5,214,3,0,0,0,management,medium
57,1361,2,264,3,1,0,0,technical,medium
58,1371,7,278,4,0,1,0,sales,low
59,1374,6,251,4,0,1,0,sales,low
60,1393,2,131,3,0,1,0,technical,medium
61,1399,4,238,3,0,0,0,product_mng,high
62,1404,5,261,6,0,0,0,sales,low
63,1413,2,160,5,0,0,0,hr,low
64,42423,6,190,4,1,0,0,support,low
65,1424,6,163,3,1,0,0,IT,medium
66,1426,3,173,3,0,0,0,product_mng,low
67,1430,4,199,3,0,0,0,product_mng,high
68,1438,2,136,3,0,1,0,hr,low
69,11426,4,132,3,0,1,0,accounting,medium
70,1443,3,198,3,0,0,0,technical,low
71,1450,4,175,3,0,0,0,product_mng,low
72,22316,5,222,3,0,0,0,support,medium
73,1454,4,266,3,0,0,0,accounting,medium
74,1463,2,139,3,0,1,0,support,high
75,1466,5,245,5,0,1,0,support,medium
76,1467,3,131,3,0,0,0,sales,low
77,1473,3,134,4,0,0,0,management,medium
78,13107,4,146,2,0,0,0,support,high
79,1489,3,192,4,0,0,0,technical,low
80,1490,3,236,3,1,0,0,hr,medium
81,1493,4,193,4,1,0,0,support,medium
82,1506,5,220,2,0,0,1,management,high
83,1508,4,177,2,0,0,0,sales,low
84,15896,4,235,4,0,0,0,sales,medium
85,1530,7,275,4,0,1,0,technical,low
86,1537,4,212,3,0,0,0,support,medium
87,1543,3,123,4,0,0,0,product_mng,low
88,1548,3,269,3,0,0,0,IT,low
89,1558,6,280,4,0,1,0,sales,low
90,1571,4,212,3,0,0,0,support,low
91,17231,5,250,4,0,0,0,RandD,low
92,1581,5,221,2,0,0,0,technical,medium
93,1590,2,141,3,0,1,0,accounting,low
94,1595,4,156,2,0,0,0,product_mng,low
95,1605,5,241,6,0,1,0,sales,low
96,1610,4,157,2,0,0,0,sales,low
97,1622,5,210,2,0,0,0,support,low
98,1639,4,273,4,0,0,0,product_mng,low
99,1641,3,255,10,0,0,0,product_mng,low
100,1642,3,215,3,1,0,0,sales,low
101,1651,4,147,2,0,0,0,IT,medium
102,1658,6,264,4,1,0,0,support,medium
103,1659,2,248,3,0,0,0,hr,medium
104,1665,4,149,4,1,0,0,support,low
105,1669,2,126,4,0,1,0,hr,medium
106,1674,3,144,3,0,0,0,support,medium
107,17376,5,199,2,0,0,0,sales,medium
108,1679,4,148,3,0,0,0,sales,low
109,19808,5,178,2,1,0,0,sales,low
110,1691,2,148,5,0,0,0,hr,medium
111,1698,3,223,2,0,0,0,product_mng,medium
112,1705,4,207,2,1,0,0,technical,low
113,22928,5,154,3,0,0,0,support,medium
114,1713,3,165,2,1,0,0,technical,low
115,1715,4,176,4,0,0,0,technical,high
116,23766,2,113,3,0,0,0,RandD,low
117,1730,2,128,3,0,1,0,marketing,low
118,1733,3,234,3,0,0,0,sales,high
119,23901,3,269,2,0,0,0,technical,medium
120,1739,3,178,2,0,0,0,support,medium
121,1741,2,135,3,0,1,0,IT,medium
122,1742,6,297,4,0,1,0,sales,low
123,1743,5,206,4,0,0,0,sales,medium
124,24128,5,259,3,0,0,0,RandD,medium
125,1771,3,242,3,0,0,0,product_mng,low
126,25406,2,164,5,0,0,0,sales,low
127,1786,2,141,3,0,1,0,sales,low
128,1789,2,129,3,0,1,0,sales,high
129,1802,3,146,2,0,0,0,RandD,medium
130,1819,2,130,3,0,0,0,management,medium
131,1822,5,194,2,0,0,0,IT,low
132,26438,2,158,3,0,1,0,sales,medium
133,1828,3,243,3,0,0,0,sales,low
134,1833,3,272,2,0,0,0,IT,low
135,1842,5,225,3,1,0,0,accounting,low
136,1843,4,269,2,0,0,0,support,high
137,1847,2,139,3,0,1,0,support,medium
138,1849,2,216,4,0,0,0,product_mng,low
139,1852,4,166,4,0,0,0,technical,medium
140,1863,3,234,3,0,0,0,accounting,medium
141,1864,5,198,3,0,0,0,IT,medium
142,1865,4,156,4,0,0,0,product_mng,low
143,26632,5,216,4,0,0,0,technical,low
144,26925,4,232,6,0,0,0,product_mng,low
145,7596,3,266,3,0,0,0,RandD,low
146,1894,3,275,2,0,0,0,sales,low
147,1897,4,245,3,0,0,0,RandD,high
148,1898,3,158,3,0,0,0,hr,medium
149,1901,5,217,3,0,1,0,support,high
150,1902,4,226,3,0,0,0,sales,low
151,28174,3,156,2,0,0,0,technical,medium
152,1912,2,133,3,0,1,0,sales,low
153,1915,4,248,2,0,0,0,support,medium
154,1920,6,284,4,0,1,0,sales,low
155,1924,5,194,3,1,0,0,technical,medium
156,1931,6,269,4,0,1,0,technical,low
157,1936,5,185,3,0,0,0,RandD,low
158,1938,5,239,3,0,0,0,technical,medium
159,1948,4,201,2,0,0,0,IT,medium
160,1953,4,245,3,0,0,0,RandD,medium
161,28695,3,241,8,0,0,0,marketing,medium
162,1964,5,163,2,0,0,0,technical,low
163,1969,5,275,2,0,0,0,sales,medium
164,1970,6,157,2,0,0,0,sales,low
165,1980,3,138,4,0,0,0,product_mng,medium
166,1984,4,235,5,0,0,0,sales,low
167,31262,3,103,3,0,0,0,technical,medium
168,32334,4,215,2,0,0,0,RandD,medium
169,1999,2,164,2,0,0,0,technical,high
170,2009,7,279,5,0,1,0,RandD,low
171,2016,4,202,3,0,0,0,IT,low
172,2021,3,170,2,0,0,0,RandD,medium
173,2025,4,256,2,0,0,0,marketing,medium
174,2026,4,243,5,1,1,0,sales,medium
175,32923,4,265,3,0,0,0,marketing,high
176,2078,5,189,4,1,0,0,support,low
177,33098,3,144,3,0,0,0,IT,low
178,2084,3,103,3,0,0,0,sales,medium
179,2092,4,248,3,1,0,0,accounting,high
180,91566,2,136,3,0,0,0,hr,medium
181,2110,5,142,5,0,0,0,sales,low
182,2111,2,129,3,0,1,0,accounting,low
183,2118,3,239,4,0,0,0,technical,medium
184,2125,4,270,5,1,0,0,management,medium
185,2126,2,140,3,0,1,0,support,medium
186,2128,2,124,3,0,0,0,product_mng,medium
187,2135,4,255,3,0,0,0,hr,high
188,2152,5,183,2,1,0,0,sales,high
189,2156,3,167,3,0,0,0,technical,medium
190,2157,5,226,4,1,1,0,technical,medium
191,2160,2,146,3,0,1,0,technical,low
192,2169,5,227,5,0,1,0,support,medium
193,2173,6,106,2,0,0,0,product_mng,high
194,2174,4,155,8,0,0,0,IT,medium
195,2178,2,133,3,0,1,0,IT,low
196,2181,3,177,3,0,0,0,technical,medium
197,2187,2,142,4,0,0,0,sales,low
198,2189,4,136,3,0,0,0,accounting,low
199,2191,3,146,4,0,0,0,sales,low
200,2193,2,152,3,0,1,0,support,low
201,2197,4,155,3,0,0,0,IT,low
202,2200,5,248,4,0,1,0,RandD,low
203,2204,4,254,3,0,0,0,management,high
204,35563,5,165,6,0,1,0,sales,low
205,2212,4,256,6,0,1,0,sales,medium
206,35940,5,141,3,0,0,1,marketing,low
207,2222,5,138,3,0,0,0,support,medium
208,36647,6,291,4,0,1,0,support,medium
209,2234,4,217,5,0,1,0,technical,low
210,2241,4,99,3,0,0,0,marketing,high
211,2248,5,262,6,0,0,1,technical,medium
212,37364,3,242,3,0,0,0,IT,high
213,2253,4,252,2,0,1,0,management,low
214,2269,5,235,3,0,0,0,product_mng,medium
215,2277,2,107,2,0,0,0,technical,low
