,EMPLOYEE #,satisfaction_level,last_evaluation
0,1003,0.38,0.53
1,1005,0.8,0.86
2,1486,0.11,0.88
3,1038,0.72,0.87
4,1057,0.37,0.52
5,1060,0.41,0.5
6,1061,0.1,0.77
7,1576,0.92,0.85
8,1752,0.89,1.0
9,1988,0.42,0.53
10,1071,0.45,0.54
11,1088,0.11,0.81
12,2040,0.84,0.92
13,1097,0.41,0.55
14,1100,0.36,0.56
15,1113,0.38,0.54
16,58014,0.45,0.47
17,3322,0.78,0.99
18,3794,,
19,1140,,0.89
20,1148,0.11,0.83
21,1149,0.38,0.55
22,1158,0.09,0.95
23,1166,0.46,0.57
24,1175,0.4,0.53
25,1184,0.89,0.92
26,1186,0.82,0.87
27,1201,0.4,0.49
28,1203,0.41,0.46
29,1204,0.38,0.5
30,1214,0.09,0.62
31,1223,0.45,0.57
32,1228,0.4,0.51
33,1230,,
34,1236,0.84,0.87
35,4266,0.1,0.94
36,1240,0.38,0.46
37,1248,0.45,0.5
38,1256,0.11,0.89
39,4414,0.41,0.54
40,1284,0.87,0.88
41,5983,0.45,0.48
42,1293,0.4,0.46
43,7010,0.1,0.8
44,52647,0.09,0.89
45,10497,0.84,0.74
46,1310,0.4,0.55
47,1311,0.57,0.7
48,1316,0.4,0.54
49,1319,0.43,0.47
50,10865,0.13,0.78
51,1332,0.44,0.55
52,1334,0.38,0.55
53,1340,,
54,1341,0.1,0.92
55,1347,0.37,0.46
56,14030,0.11,0.94
57,1361,0.1,0.81
58,1371,0.38,0.54
59,1374,0.85,1.0
60,1393,0.85,0.91
61,1399,0.11,0.93
62,1404,0.1,0.95
63,1413,0.36,0.56
64,42423,0.11,0.94
65,1424,0.81,0.7
66,1426,0.43,0.54
67,1430,0.9,0.98
68,1438,0.76,0.86
69,11426,0.43,0.5
70,1443,0.74,0.99
71,1450,0.09,0.77
72,22316,,
73,1454,0.09,0.87
74,1463,0.11,0.97
75,1466,0.11,0.79
76,1467,0.1,0.83
77,1473,0.4,0.54
78,13107,0.43,0.56
79,1489,0.39,0.56
80,1490,0.45,0.54
81,1493,0.38,0.49
82,1506,0.79,0.59
83,1508,0.84,0.85
84,15896,0.11,0.77
85,1530,0.11,0.87
86,1537,0.17,0.84
87,1543,0.44,0.45
88,1548,0.37,0.57
89,1558,0.1,0.79
90,1571,0.4,0.5
91,17231,0.89,1.0
92,1581,,
93,1590,0.46,0.55
94,1595,0.09,0.83
95,1605,0.37,0.51
96,1610,0.1,0.77
97,1622,0.1,0.84
98,1639,0.11,0.97
99,1641,0.9,1.0
100,1642,0.38,0.52
101,1651,0.36,0.52
102,1658,0.42,0.46
103,1659,0.09,0.94
104,1665,0.43,0.52
105,1669,0.24,0.46
106,1674,0.91,1.0
107,17376,,
108,1679,0.71,0.87
109,19808,0.4,0.49
110,1691,0.43,0.47
111,1698,0.09,0.85
112,1705,0.43,0.52
113,22928,0.9,0.96
114,1713,0.84,1.0
115,1715,0.37,0.48
116,23766,0.86,0.68
117,1730,0.11,0.84
118,1733,0.37,0.57
119,23901,0.4,0.46
120,1739,,
121,1741,0.4,0.46
122,1742,0.75,1.0
123,1743,0.11,0.84
124,24128,0.46,0.49
125,1771,0.11,0.92
126,25406,0.38,0.49
127,1786,0.7,0.89
128,1789,0.09,0.82
129,1802,0.37,0.45
130,1819,0.1,0.83
131,1822,0.38,0.57
132,26438,0.9,1.0
133,1828,0.44,0.51
134,1833,0.36,0.5
135,1842,0.31,0.84
136,1843,0.1,0.84
137,1847,,
138,1849,0.74,1.0
139,1852,0.73,0.87
140,1863,0.09,0.96
141,1864,0.45,0.53
142,1865,0.11,0.8
143,26632,0.37,0.47
144,26925,0.84,0.99
145,7596,0.41,0.46
146,1894,0.76,0.92
147,1897,0.11,0.87
148,1898,0.84,0.88
149,1901,0.39,0.5
150,1902,0.11,0.91
151,28174,0.45,0.56
152,1912,0.37,0.52
153,1915,0.4,0.52
154,1920,0.39,0.48
155,1924,0.11,0.8
156,1931,0.83,1.0
157,1936,0.11,0.92
158,1938,0.39,0.5
159,1948,0.45,0.45
160,1953,0.1,0.95
161,28695,0.9,0.98
162,1964,0.45,0.51
163,1969,0.79,0.89
164,1970,0.9,0.99
165,1980,0.11,0.84
166,1984,0.43,0.55
167,31262,0.31,0.54
168,32334,0.32,0.5
169,1999,0.45,0.57
170,2009,0.81,0.99
171,2016,0.41,0.46
172,2021,0.11,0.78
173,2025,0.1,0.88
174,2026,0.7,0.53
175,32923,,
176,2078,0.41,0.48
177,33098,0.38,0.5
178,2084,0.37,0.51
179,2092,0.11,0.85
180,91566,0.4,0.47
181,2110,0.1,0.84
182,2111,0.89,0.99
183,2118,0.11,0.8
184,2125,0.36,0.55
185,2126,0.4,0.46
186,2128,0.09,0.85
187,2135,0.4,0.46
188,2152,0.37,0.55
189,2156,0.44,0.51
190,2157,0.09,0.8
191,2160,0.92,
192,2169,0.74,0.91
193,2173,0.09,0.82
194,2174,0.89,0.95
195,2178,0.09,0.8
196,2181,0.27,0.54
197,2187,0.1,0.91
198,2189,0.1,0.89
199,2191,0.77,0.94
200,2193,0.9,0.82
201,2197,0.39,0.5
202,2200,0.76,1.0
203,2204,0.1,0.93
204,35563,0.87,0.9
205,2212,0.38,0.5
206,35940,0.77,0.99
207,2222,0.78,0.87
208,36647,0.44,0.5
209,2234,0.38,0.52
210,2241,0.43,0.46
211,2248,0.39,0.5
212,37364,0.88,1.0
213,2253,0.45,0.46
214,2269,0.4,0.53
215,2277,0.36,0.51
216,2279,0.36,0.48
217,2283,0.9,0.98
218,38260,0.43,0.53
219,2299,0.89,0.87
220,2300,0.1,0.84
221,38901,0.37,0.5
222,2311,0.37,0.51
223,2314,0.87,0.9
224,2318,0.4,0.56
225,2340,0.9,0.97
226,2346,0.37,0.46
227,2362,0.44,0.54
228,2363,0.85,0.95
229,40347,0.78,0.98
230,2395,0.42,0.47
231,2402,0.92,0.99
232,2405,0.11,0.83
233,2415,0.42,0.56
234,40729,0.48,0.57
