Country Name,2022
Aruba,106445
Africa Eastern and Southern,720859132
Afghanistan,41128771
Africa Western and Central,490330870
Angola,35588987
Albania,2777689
Andorra,79824
Arab World,464684914
United Arab Emirates,9441129
Argentina,46234830
Armenia,2780469
American Samoa,44273
Antigua and Barbuda,93763
Australia,26005540
Austria,9041851
Azerbaijan,10141756
Burundi,12889576
Belgium,11685814
Benin,13352864
Burkina Faso,22673762
Bangladesh,171186372
Bulgaria,6465097
Bahrain,1472233
"Bahamas, The",409984
Bosnia and Herzegovina,3233526
Belarus,9228071
Belize,405272
Bermuda,63532
Bolivia,12224110
Brazil,215313498
Barbados,281635
Brunei Darussalam,449002
Bhutan,782455
Botswana,2630296
Central African Republic,5579144
Canada,38929902
Central Europe and the Baltics,100108221
Switzerland,8775760
Channel Islands,174079
Chile,19603733
China,1412175000
Cote d'Ivoire,28160542
Cameroon,27914536
"Congo, Dem. Rep.",99010212
"Congo, Rep.",5970424
Colombia,51874024
Comoros,836774
Cabo Verde,593149
Costa Rica,5180829
Caribbean small states,7505478
Cuba,11212191
Curacao,149996
Cayman Islands,68706
Cyprus,1251488
Czechia,10672118
Germany,83797985
Djibouti,1120849
Dominica,72737
Denmark,5903037
Dominican Republic,11228821
Algeria,44903225
East Asia & Pacific (excluding high income),2129112126
Early-demographic dividend,3447398652
East Asia & Pacific,2375162207
Europe & Central Asia (excluding high income),397824705
Europe & Central Asia,920375568
Ecuador,18001000
"Egypt, Arab Rep.",110990103
Euro area,344475911
Eritrea,3684032
Spain,47778340
Estonia,1348840
Ethiopia,123379924
European Union,447370510
Fragile and conflict affected situations,1019139254
Finland,5556106
Fiji,929766
France,67971311
Faroe Islands,53090
"Micronesia, Fed. Sts.",114164
Gabon,2388992
United Kingdom,66971395
Georgia,3712502
Ghana,33475870
Gibraltar,32649
Guinea,13859341
"Gambia, The",2705992
Guinea-Bissau,2105566
Equatorial Guinea,1674908
Greece,10426919
Grenada,125438
Greenland,56661
Guatemala,17357886
Guam,171774
Guyana,808726
High income,1244364814
"Hong Kong SAR, China",7346100
Honduras,10432860
Heavily indebted poor countries (HIPC),884288332
Croatia,3855600
Haiti,11584996
Hungary,9643048
IBRD only,4913887020
IDA & IBRD total,6754029970
IDA total,1840142950
IDA blend,607735968
Indonesia,275501339
IDA only,1232406982
Isle of Man,84519
India,1417173173
Not classified,
Ireland,5127170
"Iran, Islamic Rep.",88550570
Iraq,44496122
Iceland,382003
Israel,9557500
Italy,58940425
Jamaica,2827377
Jordan,11285869
Japan,125124989
Kazakhstan,19621972
Kenya,54027487
Kyrgyz Republic,6974900
Cambodia,16767842
Kiribati,131232
St. Kitts and Nevis,47657
"Korea, Rep.",51628117
Kuwait,4268873
Latin America & Caribbean (excluding high income),596596955
Lao PDR,7529475
Lebanon,5489739
Liberia,5302681
Libya,6812341
St. Lucia,179857
Latin America & Caribbean,659310564
Least developed countries: UN classification,1125179454
Low income,703727949
Liechtenstein,39327
Sri Lanka,22181000
Lower middle income,3190184199
Low & middle income,6678280291
Lesotho,2305825
Late-demographic dividend,2325542891
Lithuania,2831639
Luxembourg,653103
Latvia,1879383
"Macao SAR, China",695168
St. Martin (French part),31791
Morocco,37457971
Monaco,36469
Moldova,2538894
Madagascar,29611714
Maldives,523787
Middle East & North Africa,493279469
Mexico,127504125
Marshall Islands,41569
Middle income,5974552342
North Macedonia,2057679
Mali,22593590
Malta,531113
Myanmar,54179306
Middle East & North Africa (excluding high income),424328381
Montenegro,617213
Mongolia,3398366
Northern Mariana Islands,49551
Mozambique,32969518
Mauritania,4736139
Mauritius,1262523
Malawi,20405317
Malaysia,33938221
North America,372280991
Namibia,2567012
